Kode Barang,Nama Barang,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
RK-SP16,Sampoerna 16,220,260,240,300,280,260,260,300
RK-SP12,Sampoerna 12,250,300,320,300,280,300,280,400
RK-SPUM16,Sampoerna Ultra Mild 16,140,150,130,130,140,140,150,200
RK-SPUM12,Sampoerna Ultra Mild 12,140,140,140,160,130,140,180,180
RK-SPMTH,Sampoerna Menthol,100,120,120,140,100,130,120,150
RK-SPAMR,Sampoerna Avolution Merah,40,40,50,60,50,40,40,70
RK-SPAMT,Sampoerna Avolution Menthol,40,40,50,60,50,40,40,70
RK-SPMAR,Sampoerna Maron,20,20,20,20,20,40,40,40
RK-DSSW,Dji Sam Soe Wallet,100,120,120,140,100,130,120,150
RK-SPHJ,Sampoerna Hijau,140,140,140,160,130,140,180,180
RK-DSSRE,Dji Sam Soe Refill,140,150,130,130,140,140,150,200
RK-DSS12,Dji Sam Soe 12 ,220,260,240,300,280,260,260,300
RK-MG16,Magnum 16,140,140,140,160,130,140,180,180
RK-MG20,Magnum 20,100,120,120,140,100,130,120,150
RK-MGFT,Magnum Filter,40,40,50,60,50,40,40,70
RK-DJCE,Djarum Coklat Extra,20,20,20,20,20,40,40,40
RK-FRTE,Forte,20,20,20,20,20,40,40,40
RK-CMPP,Camel Purple,140,150,130,130,140,140,150,200
RK-CMBN,Camel Banana,100,120,120,140,100,130,120,150
RK-SY16,Surya 16,220,260,240,300,280,260,260,300
RK-SY12,Surya 12,300,350,300,350,300,320,320,400
RK-GP,GP,100,120,120,140,100,130,120,150
RK-GGMR,Gudang Garam Merah,140,140,140,160,130,140,180,180
RK-SYPP,Surya  Pro Putih,100,120,120,140,100,130,120,150
RK-SYPM,Surya Pro Merah,120,140,140,160,140,140,160,180
RK-GGML,GG Mild,40,40,50,60,50,40,40,70
RK-CM12,Clas Mild 12,140,140,140,160,130,140,180,180
RK-CM16,Clas Mild 16,100,120,120,140,100,130,120,150
RK-CMSV,Clas Mild Silver,60,60,60,40,60,60,70,90
RK-DHP16,Dunhill Putih 16,100,120,120,140,100,130,120,150
